640 24
must tensor(0.2078, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.2099, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.0248, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4174, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.4518, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5032, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.1043, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4370, device='cuda:0', grad_fn=<SelectBackward>) tensor(-2.6744, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.7686, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3265, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.9767, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.1356, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.8512, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0882, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.0688, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4996, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6683, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.0026, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.9232, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.3353, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5192, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4860, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6500, device='cuda:0', grad_fn=<SelectBackward>)
civil tensor(-1.2449, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.3276, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.5751, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6927, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.4652, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3121, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1821, device='cuda:0', grad_fn=<SelectBackward>) tensor(-2.2095, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5190, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.7652, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1098, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5670, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5729, device='cuda:0', grad_fn=<SelectBackward>) tensor(-2.1874, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5970, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5767, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.1716, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.7005, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4329, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.5664, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.9662, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.2077, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.6283, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1086, device='cuda:0', grad_fn=<SelectBackward>)
change tensor(0.4042, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3302, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.7665, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.0742, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5429, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.0380, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.4671, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.1433, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.0745, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6425, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3063, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.0495, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5690, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5098, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.8782, device='cuda:0', grad_fn=<SelectBackward>) tensor(-2.0248, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3404, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.6484, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1651, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.5062, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.4726, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6327, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4186, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.7101, device='cuda:0', grad_fn=<SelectBackward>)
teh tensor(-0.9169, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5589, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5843, device='cuda:0', grad_fn=<SelectBackward>) tensor(-2.6298, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.0932, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1002, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1274, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2972, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.1645, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4791, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2499, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.7571, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1428, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.9208, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2430, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.6837, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3805, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.6893, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0742, device='cuda:0', grad_fn=<SelectBackward>) tensor(2.2313, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.7011, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6977, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.3847, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.4797, device='cuda:0', grad_fn=<SelectBackward>)
everyone tensor(-0.9010, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.1183, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.3605, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.6823, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.8227, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2564, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.7454, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1462, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.0535, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.2656, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.4508, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0484, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.4142, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.0999, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5494, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1315, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1442, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1662, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.9164, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.2868, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.2627, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.2389, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4281, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.9550, device='cuda:0', grad_fn=<SelectBackward>)
thankew tensor(-1.7126, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5555, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1629, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.3649, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.8815, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3490, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1503, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.7701, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.9265, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3058, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4585, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.9184, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1372, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3986, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5480, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4662, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.5285, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.5031, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.7543, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2803, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.3950, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.4312, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0706, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5029, device='cuda:0', grad_fn=<SelectBackward>)
looks tensor(-0.0569, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6020, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0541, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.8098, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.3818, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.7079, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.1413, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6286, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.6366, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.6698, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2361, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.6025, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.6863, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.0192, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.2066, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.5699, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.2669, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1601, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1005, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1555, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5645, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0912, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0099, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.6806, device='cuda:0', grad_fn=<SelectBackward>)
strawberry tensor(-1.3413, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3486, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.8623, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.9880, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4347, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5408, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.5161, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2114, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.0087, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0459, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.9742, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.9472, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.6821, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.7361, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.9058, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.1769, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3647, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.3908, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.7929, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.8515, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.4739, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.3149, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.8024, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.1718, device='cuda:0', grad_fn=<SelectBackward>)
eagle tensor(1.4245, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.4801, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.4645, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1228, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5957, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.4790, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.1349, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1385, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1562, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.4652, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1462, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.1146, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.9414, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.8395, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6617, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.3992, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5146, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5655, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.2449, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1063, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5372, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1193, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2484, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5599, device='cuda:0', grad_fn=<SelectBackward>)
well tensor(-1.2550, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5440, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.6362, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6933, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3781, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.8305, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.9634, device='cuda:0', grad_fn=<SelectBackward>) tensor(-2.1085, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4495, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.4621, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0844, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.2228, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.0701, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.7465, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.9855, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.3016, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.1818, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.4556, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.8322, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5886, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.2032, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.0202, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.5965, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.5004, device='cuda:0', grad_fn=<SelectBackward>)
faster tensor(-0.8820, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.0363, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5661, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2345, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2949, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.9179, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.6946, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.2895, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5936, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.2693, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4722, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.4791, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.1364, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.6633, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.4193, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.6734, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.5833, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.3838, device='cuda:0', grad_fn=<SelectBackward>) tensor(1.2302, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.7890, device='cuda:0', grad_fn=<SelectBackward>) tensor(0.9396, device='cuda:0', grad_fn=<SelectBackward>) tensor(-0.3741, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.0122, device='cuda:0', grad_fn=<SelectBackward>) tensor(-1.6283, device='cuda:0', grad_fn=<SelectBackward>)
